entity_id,state,last_changed,local_ts,hour,night_date
sensor.lounge_airq_pm_10,2,2025-05-14 03:22:15.129000+00:00,2025-05-14 06:22:15.129000+03:00,6,2025-05-13
sensor.lounge_airq_pm_10,3,2025-05-14 03:23:15.133000+00:00,2025-05-14 06:23:15.133000+03:00,6,2025-05-13
sensor.lounge_airq_pm_10,3,2025-05-14 03:24:15.130000+00:00,2025-05-14 06:24:15.130000+03:00,6,2025-05-13
sensor.lounge_airq_pm_10,3,2025-05-14 03:25:15.130000+00:00,2025-05-14 06:25:15.130000+03:00,6,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 03:26:15.129000+00:00,2025-05-14 06:26:15.129000+03:00,6,2025-05-13
sensor.lounge_airq_pm_10,3,2025-05-14 03:27:15.130000+00:00,2025-05-14 06:27:15.130000+03:00,6,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 03:28:15.130000+00:00,2025-05-14 06:28:15.130000+03:00,6,2025-05-13
sensor.lounge_airq_pm_10,3,2025-05-14 03:29:15.130000+00:00,2025-05-14 06:29:15.130000+03:00,6,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 03:30:15.127000+00:00,2025-05-14 06:30:15.127000+03:00,6,2025-05-13
sensor.lounge_airq_pm_10,3,2025-05-14 03:31:15.126000+00:00,2025-05-14 06:31:15.126000+03:00,6,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 03:32:15.126000+00:00,2025-05-14 06:32:15.126000+03:00,6,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 03:33:15.125000+00:00,2025-05-14 06:33:15.125000+03:00,6,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 03:34:15.128000+00:00,2025-05-14 06:34:15.128000+03:00,6,2025-05-13
sensor.lounge_airq_pm_10,3,2025-05-14 03:36:15.126000+00:00,2025-05-14 06:36:15.126000+03:00,6,2025-05-13
sensor.lounge_airq_pm_10,3,2025-05-14 03:37:15.125000+00:00,2025-05-14 06:37:15.125000+03:00,6,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 03:38:15.123000+00:00,2025-05-14 06:38:15.123000+03:00,6,2025-05-13
sensor.lounge_airq_pm_10,4,2025-05-14 03:40:15.123000+00:00,2025-05-14 06:40:15.123000+03:00,6,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 03:41:15.123000+00:00,2025-05-14 06:41:15.123000+03:00,6,2025-05-13
sensor.lounge_airq_pm_10,3,2025-05-14 03:42:15.121000+00:00,2025-05-14 06:42:15.121000+03:00,6,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 03:43:15.124000+00:00,2025-05-14 06:43:15.124000+03:00,6,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 03:45:15.118000+00:00,2025-05-14 06:45:15.118000+03:00,6,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 03:46:15.118000+00:00,2025-05-14 06:46:15.118000+03:00,6,2025-05-13
sensor.lounge_airq_pm_10,3,2025-05-14 03:47:15.121000+00:00,2025-05-14 06:47:15.121000+03:00,6,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 03:49:15.117000+00:00,2025-05-14 06:49:15.117000+03:00,6,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 03:50:15.119000+00:00,2025-05-14 06:50:15.119000+03:00,6,2025-05-13
sensor.lounge_airq_pm_10,3,2025-05-14 03:52:15.116000+00:00,2025-05-14 06:52:15.116000+03:00,6,2025-05-13
sensor.lounge_airq_pm_10,3,2025-05-14 03:53:15.116000+00:00,2025-05-14 06:53:15.116000+03:00,6,2025-05-13
sensor.lounge_airq_pm_10,3,2025-05-14 03:54:15.115000+00:00,2025-05-14 06:54:15.115000+03:00,6,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 03:55:15.116000+00:00,2025-05-14 06:55:15.116000+03:00,6,2025-05-13
sensor.lounge_airq_pm_10,3,2025-05-14 03:56:15.114000+00:00,2025-05-14 06:56:15.114000+03:00,6,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 03:57:15.117000+00:00,2025-05-14 06:57:15.117000+03:00,6,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 03:58:15.114000+00:00,2025-05-14 06:58:15.114000+03:00,6,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 03:59:15.110000+00:00,2025-05-14 06:59:15.110000+03:00,6,2025-05-13
sensor.lounge_airq_pm_10,6,2025-05-14 19:00:08.162000+00:00,2025-05-14 22:00:08.162000+03:00,22,2025-05-14
sensor.lounge_airq_pm_10,6,2025-05-14 19:01:08.163000+00:00,2025-05-14 22:01:08.163000+03:00,22,2025-05-14
sensor.lounge_airq_pm_10,6,2025-05-14 19:02:08.162000+00:00,2025-05-14 22:02:08.162000+03:00,22,2025-05-14
sensor.lounge_airq_pm_10,6,2025-05-14 19:03:08.158000+00:00,2025-05-14 22:03:08.158000+03:00,22,2025-05-14
sensor.lounge_airq_pm_10,6,2025-05-14 19:04:08.164000+00:00,2025-05-14 22:04:08.164000+03:00,22,2025-05-14
sensor.lounge_airq_pm_10,6,2025-05-14 19:05:08.161000+00:00,2025-05-14 22:05:08.161000+03:00,22,2025-05-14
sensor.lounge_airq_pm_10,6,2025-05-14 19:06:08.158000+00:00,2025-05-14 22:06:08.158000+03:00,22,2025-05-14
sensor.lounge_airq_pm_10,6,2025-05-14 19:07:08.163000+00:00,2025-05-14 22:07:08.163000+03:00,22,2025-05-14
